"scientificName","gbifID","decimalLatitude","decimalLongitude","eventDate","country","status","error_message"
"Myrcia nivea Cambess.","3313932359",-15.716111,-47.8025,"2018-08-12","Brazil","succeeded",NA
"Myrcia nivea Cambess.","1913950179",-18.239444,-43.588889,"2018-09-05","Brazil","succeeded",NA
"Myrcia nivea Cambess.","2996081581",-11.816667,-43.15,"2017-08-12","Brazil","failed","Error in download.file(media, file_name) : 
  cannot open URL 'http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/58/48/alcb00045848.dzi'
"
"Myrcia nivea Cambess.","4412371269",-11.816667,-43.15,"2017-08-12","Brazil","failed","Error in download.file(media, file_name) : 
  cannot open URL 'http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/58/48/alcb00045848.dzi'
"
"Myrcia nivea Cambess.","2996061149",-18.240833,-43.588333,"2016-07-11","Brazil","failed","Error in download.file(media, file_name) : 
  cannot open URL 'http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/6/91/90/alcb00069190.dzi'
"
"Myrcia nivea Cambess.","4412390636",-18.240833,-43.588333,"2016-07-11","Brazil","failed","Error in download.file(media, file_name) : 
  cannot open URL 'http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/6/91/90/alcb00069190.dzi'
"
"Myrcia nivea Cambess.","2996053064",-18.129722,-43.729444,"2015-10-02","Brazil","failed","Error in download.file(media, file_name) : 
  cannot open URL 'http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/0/79/95/alcb00007995.dzi'
"
"Myrcia nivea Cambess.","4412368813",-18.1725,-43.633889,"2015-10-02","Brazil","failed","Error in download.file(media, file_name) : 
  cannot open URL 'http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/0/79/91/alcb00007991.dzi'
"
"Myrcia nivea Cambess.","4519402376",NA,NA,"2014-09-03T00:00","Brazil","succeeded",NA
"Myrcia nivea Cambess.","4519396357",-13.9035,-47.3785,"2014-09-11T00:00","Brazil","succeeded",NA
"Myrcia nivea Cambess.","1571706697",NA,NA,"2014-09-03","Brazil","succeeded",NA
"Myrcia nivea Cambess.","4900549114",-12.171944,-44.644167,"2014-10-31","Brazil","failed","Error in download.file(media, file_name) : 
  cannot open URL 'http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/6/3/63/alcb00060363_1.dzi'
"
"Myrcia nivea Cambess.","1424730971",-12.171944,-44.644167,"2014-10-31","Brazil","succeeded",NA
"Myrcia nivea Cambess.","4519397353",-18.181056,-43.620139,"2014-11-15T00:00","Brazil","succeeded",NA
"Myrcia nivea Cambess.","1571706120",-18.180833,-43.62,"2014-11-15","Brazil","succeeded",NA
"Myrcia nivea Cambess.","1424399761",-17.079167,-43.329722,"2011-02-12","Brazil","succeeded",NA
"Myrcia nivea Cambess.","4519386346",-15.547222,-47.565,"2011-09-27T00:00","Brazil","succeeded",NA
"Myrcia nivea Cambess.","4519385763",-18.188944,-43.614917,"2010-11-18T00:00","Brazil","succeeded",NA
"Myrcia nivea Cambess.","2270516273",-15.574749,-47.693443,"2006-09-21","Brazil","succeeded",NA
"Myrcia nivea Cambess.","1423907180",-18.295278,-43.683056,"2002-02-05","Brazil",NA,NA
"Myrcia nivea Cambess.","1228578357",-18,-44,"2002-11-08","Brazil",NA,NA
"Myrcia nivea Cambess.","1424076633",NA,NA,"1996-10-23","Brazil",NA,NA
"Myrcia nivea Cambess.","1424076033",-14.115,-47.643333,"1996-11-14","Brazil",NA,NA
"Myrcia nivea Cambess.","1228157742",-18,-44,"1995-09-28","Brazil",NA,NA
"Myrcia nivea Cambess.","1424047799",NA,NA,"1992-10-09","Brazil",NA,NA
"Myrcia nivea Cambess.","1424074088",NA,NA,"1992-10-09","Brazil",NA,NA
"Myrcia nivea Cambess.","1424074176",NA,NA,"1992-10-09","Brazil",NA,NA
"Myrcia nivea Cambess.","1424074297",NA,NA,"1992-10-09","Brazil",NA,NA
"Myrcia nivea Cambess.","1424075991",NA,NA,"1991-07-24","Brazil",NA,NA
"Myrcia nivea Cambess.","1424072847",NA,NA,"1991-09-17","Brazil",NA,NA
"Myrcia nivea Cambess.","1571706267",NA,NA,"1983-10-20","Brazil",NA,NA
"Myrcia nivea Cambess.","1455975289",-15.72,-15.8,"1981-11-30","Brazil",NA,NA
"Myrcia nivea Cambess.","912294280",-15.716667,-47.8,"1981-11-30T00:00","Brazil",NA,NA
"Myrcia nivea Cambess.","1424075903",-16.416667,-43.283333,"1981-11-11","Brazil",NA,NA
"Myrcia nivea Cambess.","1456380500",-15.58,-15.9,"1981-12-16","Brazil",NA,NA
"Myrcia nivea Cambess.","1424074212",NA,NA,"1980-10-13","Brazil",NA,NA
"Myrcia nivea Cambess.","1424075798",NA,NA,"1978-01-24","Brazil",NA,NA
"Myrcia nivea Cambess.","1931208633",-15.7834208,-47.9298727,"1975-10-23","Brazil",NA,NA
"Myrcia nivea Cambess.","4519391926",-15.766667,-47.916667,"1975-10-23T00:00","Brazil",NA,NA
"Myrcia nivea Cambess.","1424071184",NA,NA,"1973-10-02","Brazil",NA,NA
"Myrcia nivea Cambess.","1930166454",-15.7834208,-47.9298727,"1972-05-06","Brazil",NA,NA
"Myrcia nivea Cambess.","1929344672",-18.24,-43.601,"1970-03-16","Brazil",NA,NA
"Myrcia nivea Cambess.","1927842205",NA,NA,"1966-04-12","Brazil",NA,NA
"Myrcia nivea Cambess.","1228304335",-11,-42,"1966-04-12","Brazil",NA,NA
"Myrcia nivea Cambess.","1424074227",NA,NA,"1965-07-11","Brazil",NA,NA
"Myrcia nivea Cambess.","1927982148",-15.7833,-47.73004,"1965-08-25","Brazil",NA,NA
"Myrcia nivea Cambess.","1228536499",-15.75,-47.75,"1965-08-25","Brazil",NA,NA
"Myrcia nivea Cambess.","1456436467",NA,NA,"1965-08-25","Brazil",NA,NA
"Myrcia nivea Cambess.","1424074226",NA,NA,"1965-08-25","Brazil",NA,NA
"Myrcia nivea Cambess.","1228545613",-15.75,-47.75,"1965-09-11","Brazil",NA,NA
"Myrcia nivea Cambess.","1228606383",-15.75,-47.75,"1965-09-11","Brazil",NA,NA
"Myrcia nivea Cambess.","1929000739",-15.7194,-47.85071,"1965-09-11","Brazil",NA,NA
"Myrcia nivea Cambess.","1929225581",-15.7834208,-47.9301727,"1965-09-04","Brazil",NA,NA
"Myrcia nivea Cambess.","1930628010",-15.7834208,-47.9298727,"1965-09-11","Brazil",NA,NA
"Myrcia nivea Cambess.","1456142406",NA,NA,"1965-09-11","Brazil",NA,NA
"Myrcia nivea Cambess.","1456412463",NA,NA,"1965-09-11","Brazil",NA,NA
"Myrcia nivea Cambess.","912233605",-15.666667,-47.933334,"1965-09-11T00:00","Brazil",NA,NA
"Myrcia nivea Cambess.","1928100019",-15.58,-47.88,"1964-09-19","Brazil",NA,NA
"Myrcia nivea Cambess.","1930590936",-15.58,-47.88,"1964-09-19","Brazil",NA,NA
"Myrcia nivea Cambess.","1228607088",-15.75,-47.75,"1964-09-19","Brazil",NA,NA
"Myrcia nivea Cambess.","1456448080",NA,NA,"1964-09-19","Brazil",NA,NA
"Myrcia nivea Cambess.","912294258",-15.766667,-47.666667,"1964-09-19T00:00","Brazil",NA,NA
"Myrcia nivea Cambess.","1930992050",-15.7834208,-47.9298727,"1962-08-08","Brazil",NA,NA
"Myrcia nivea Cambess.","1929185826",-15.7834208,-47.9298727,"1962-09-07","Brazil",NA,NA
"Myrcia nivea Cambess.","1424074274",NA,NA,"1958-11-17","Brazil",NA,NA
"Myrcia nivea Cambess.","912294251",NA,NA,"1896-01-01T00:00","Brazil",NA,NA
"Myrcia nivea Cambess.","4519375843",NA,NA,"1896-01-01T00:00","Brazil",NA,NA
"Myrcia nivea Cambess.","438656228",NA,NA,"1895-05-25","Brazil",NA,NA
"Myrcia nivea Cambess.","436992163",NA,NA,"1895-05-25","Brazil",NA,NA
"Myrcia nivea Cambess.","912294248",-20.45,-41.8,"1892-01-01T00:00","Brazil",NA,NA
"Myrcia nivea Cambess.","694788380",NA,NA,"1844-01-01","Brazil",NA,NA
"Myrcia nivea Cambess.","694840628",NA,NA,"1844-01-01","Brazil",NA,NA
"Myrcia nivea Cambess.","694840629",NA,NA,"1844-11-01","Brazil",NA,NA
"Myrcia nivea Cambess.","912294255",NA,NA,"1840-08-01T00:00","Brazil",NA,NA
"Myrcia nivea Cambess.","2997125134",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","3710055811",NA,NA,NA,"Brazil",NA,NA
"Aulomyrcia nivea var. rosmarinifolia O.Berg","1228524727",NA,NA,NA,NA,NA,NA
"Aulomyrcia nivea var. rosmarinifolia O.Berg","1228204803",NA,NA,NA,NA,NA,NA
"Myrcia nivea Cambess.","1228611193",NA,NA,NA,NA,NA,NA
"Myrcia nivea Cambess.","437325514",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","437325515",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","437657444",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","437990331",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","437657445",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","438323540",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","694840630",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","1424547819",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","2981259473",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","1839383085",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","1839383093",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea var. rosmarinifolia (O.Berg) Mattos","1839383561",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","1230946676",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","1230946635",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","1230946224",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","1230946402",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","1230946248",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","1230946634",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","1701534996",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","912232755",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","912232791",NA,NA,NA,"Brazil",NA,NA
"Myrcia nivea Cambess.","912232819",NA,NA,NA,"Brazil",NA,NA
